ConditionID,ConditionName,ConceptID,PrimaryTerm
1056,ViralHepatitis-WRpt,768006009,Chronic hepatitis C caused by Hepatitis C virus genotype 3
1056,ViralHepatitis-WRpt,768125005,Chronic hepatitis C caused by Hepatitis C virus genotype 2
1056,ViralHepatitis-WRpt,768126006,Chronic hepatitis C caused by Hepatitis C virus genotype 4
1056,ViralHepatitis-WRpt,768127002,Chronic hepatitis C caused by Hepatitis C virus genotype 1
1056,ViralHepatitis-WRpt,768288001,Chronic hepatitis C caused by Hepatitis C virus genotype 1b
1056,ViralHepatitis-WRpt,768289009,Chronic hepatitis C caused by Hepatitis C virus genotype 1a
1056,ViralHepatitis-WRpt,838377003,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection
1056,ViralHepatitis-WRpt,838380002,Chronic hepatitis B co-occurrent with hepatitis C and hepatitis D
1056,ViralHepatitis-WRpt,7.111E+12,Viral hepatitis E
1056,ViralHepatitis-WRpt,1.25921E+14,Hepatic coma due to acute hepatitis C
1056,ViralHepatitis-WRpt,1.46371E+14,Hepatic coma due to chronic hepatitis C
1056,ViralHepatitis-WRpt,1.53091E+14,Hepatic coma due to chronic hepatitis B with delta agent
1056,ViralHepatitis-WRpt,3.21381E+14,Hepatitis E
1056,ViralHepatitis-WRpt,3.47891E+14,Chronic hepatitis C with stage 3 fibrosis
1056,ViralHepatitis-WRpt,4.19531E+14,[X]Other chronic viral hepatitis
1056,ViralHepatitis-WRpt,4.19541E+14,"[X]Chronic viral hepatitis, unspecified"
1056,ViralHepatitis-WRpt,4.32261E+14,"[X]Chronic viral hepatitis, unspecified"
1056,ViralHepatitis-WRpt,4.44071E+14,[X]Unspecified viral hepatitis with coma
1056,ViralHepatitis-WRpt,4.68921E+14,[X]Unspecified viral hepatitis without coma
1056,ViralHepatitis-WRpt,4.71491E+14,[X]Other specified acute viral hepatitis
1056,ViralHepatitis-WRpt,5.30081E+14,Viral hepatitis C without mention of hepatic coma
1056,ViralHepatitis-WRpt,5.99401E+14,Other specified congenital viral hepatitis
1056,ViralHepatitis-WRpt,8.12271E+14,Viral hepatitis with hepatic coma
1056,ViralHepatitis-WRpt,8.12281E+14,Viral hepatitis without hepatic coma
1056,ViralHepatitis-WRpt,8.24841E+14,Hepatitis C genotype 1
1056,ViralHepatitis-WRpt,8.24851E+14,Hepatitis C genotype 2
1056,ViralHepatitis-WRpt,8.24871E+14,Hepatitis C genotype 3
1056,ViralHepatitis-WRpt,8.24881E+14,Hepatitis C genotype 4
1056,ViralHepatitis-WRpt,8.24891E+14,Hepatitis C genotype 5
1056,ViralHepatitis-WRpt,8.24901E+14,Hepatitis C genotype 6
1056,ViralHepatitis-WRpt,8.30761E+14,Hepatitis C genotype 1
1056,ViralHepatitis-WRpt,8.30771E+14,Hepatitis C genotype 2
1056,ViralHepatitis-WRpt,8.30781E+14,Hepatitis C genotype 3
1056,ViralHepatitis-WRpt,8.30791E+14,Hepatitis C genotype 4
1056,ViralHepatitis-WRpt,8.30801E+14,Hepatitis C genotype 5
1056,ViralHepatitis-WRpt,8.30811E+14,Hepatitis C genotype 6
1056,ViralHepatitis-WRpt,8.31031E+14,Acute hepatitis C
1056,ViralHepatitis-WRpt,8.32381E+14,Viral hepatitis with hepatic coma
1056,ViralHepatitis-WRpt,8.32391E+14,Viral hepatitis without hepatic coma
1056,ViralHepatitis-WRpt,8.32431E+14,Acute viral hepatitis
1056,ViralHepatitis-WRpt,8.75211E+14,Chronic viral hepatitis B
1056,ViralHepatitis-WRpt,9.39481E+14,Hepatitis C carrier
1056,ViralHepatitis-WRpt,1087101000119109,Herpes simplex hepatitis
1056,ViralHepatitis-WRpt,1805791000006114,Viral hepatitis D
1056,ViralHepatitis-WRpt,10759111000119102,Viral hepatitis in mother complicating childbirth
1056,ViralHepatitis-WRpt,10759151000119101,Viral hepatitis in mother complicating pregnancy
1500,eGFR,8.57971E+14,eGFR (estimated glomerular filtration rate) using CKD-Epi (Chronic Kidney Disease Epidemiology Collaboration) formula
1500,eGFR,8.57981E+14,Estimated glomerular filtration rate using Chronic Kidney Disease Epidemiology Collaboration formula per 1.73 square metres
1500,eGFR,9.63601E+14,Estimated glomerular filtration rate using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation
1500,eGFR,9.63611E+14,Estimated glomerular filtration rate using cystatin C per 1.73 square metres
1500,eGFR,9.63621E+14,Estimated glomerular filtration rate using creatinine Chronic Kidney Disease Epidemiology Collaboration equation
1500,eGFR,9.63631E+14,Estimated glomerular filtration rate using serum creatinine per 1.73 square metres
1500,eGFR,9.96231E+14,GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation adjusted for African American origin
1500,eGFR,1011481000000105,eGFR (estimated glomerular filtration rate) using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres
1500,eGFR,1011491000000107,eGFR (estimated glomerular filtration rate) using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres
1500,eGFR,1020291000000106,GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation
1500,eGFR,1107411000000104,Estimated glomerular filtration rate by laboratory calculation
1525,PeriphVascDiseaseLeg,13575008,Femoroperoneal vascular bypass
1525,PeriphVascDiseaseLeg,15853003,Thromboendarterectomy with graft of femoral and popliteal arteries
1525,PeriphVascDiseaseLeg,16589005,Femoral endarterectomy
1525,PeriphVascDiseaseLeg,17737009,Femoral-femoral artery bypass graft with vein
1525,PeriphVascDiseaseLeg,20534003,Aortopopliteal vascular bypass
1525,PeriphVascDiseaseLeg,21484004,Popliteal-tibial artery bypass graft with vein
1525,PeriphVascDiseaseLeg,28197002,Axillary-femoral artery bypass graft with vein
1525,PeriphVascDiseaseLeg,29075009,Femoral-anterior tibial artery bypass graft with vein
1525,PeriphVascDiseaseLeg,29255008,Iliofemoral bypass graft with vein
1525,PeriphVascDiseaseLeg,34339006,Popliteal-tibial artery vascular bypass
1525,PeriphVascDiseaseLeg,36006002,Axillary-femoral-femoral artery bypass graft with vein
1525,PeriphVascDiseaseLeg,40059006,Creation of aortofemoral shunt
1525,PeriphVascDiseaseLeg,40455006,Endarterectomy of lower limb artery
1525,PeriphVascDiseaseLeg,44662004,Femoral-femoral artery vascular bypass
1525,PeriphVascDiseaseLeg,46444003,Gas endarterectomy of lower limb artery
1525,PeriphVascDiseaseLeg,47575002,"Femorotibial vascular bypass, anterior or posterior"
1525,PeriphVascDiseaseLeg,50807007,Femoral-popliteal artery bypass graft with vein
1525,PeriphVascDiseaseLeg,51018000,Iliofemoral shunt
1525,PeriphVascDiseaseLeg,52156004,Femoral artery thrombosis
1525,PeriphVascDiseaseLeg,53122004,Peroneal artery bypass graft with vein
1525,PeriphVascDiseaseLeg,59444009,Bifemoral bypass graft with vein
1525,PeriphVascDiseaseLeg,61125008,Aortofemoral-popliteal artery in-situ vein bypass graft
1525,PeriphVascDiseaseLeg,68324008,"Thromboendarterectomy with graft of femoral, popliteal and tibioperoneal arteries"
1525,PeriphVascDiseaseLeg,73202009,Aortofemoral to popliteal vascular bypass
1525,PeriphVascDiseaseLeg,74239001,Popliteal-peroneal artery bypass graft with vein
1525,PeriphVascDiseaseLeg,77445003,Thromboendarterectomy with graft of common femoral artery
1525,PeriphVascDiseaseLeg,79182008,Posterior tibial artery bypass graft with vein
1525,PeriphVascDiseaseLeg,82467004,Thromboendarterectomy of lower limb artery
1525,PeriphVascDiseaseLeg,86868001,Aortoiliofemoral vascular bypass
1525,PeriphVascDiseaseLeg,87239004,Popliteal artery thrombosis
1525,PeriphVascDiseaseLeg,90481009,Thromboendarterectomy with graft of deep profunda femoral artery
1525,PeriphVascDiseaseLeg,90958004,Thrombosis of arteries of lower extremity
1525,PeriphVascDiseaseLeg,112828007,Femoral-popliteal artery bypass graft
1525,PeriphVascDiseaseLeg,146166003,Lower limb arteriogram abnorm.
1525,PeriphVascDiseaseLeg,168957001,Lower limb arteriogram abnormal
1525,PeriphVascDiseaseLeg,175276005,Emergency bypass of aorta by anastomosis of axillary artery to femoral artery
1525,PeriphVascDiseaseLeg,175279003,Axillo-unifemoral PTFE bypass graft
1525,PeriphVascDiseaseLeg,175594003,Iliofemoral prosthetic crossover graft
1525,PeriphVascDiseaseLeg,175620007,Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis
1525,PeriphVascDiseaseLeg,175621006,Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to popliteal artery using prosthesis
1525,PeriphVascDiseaseLeg,175622004,Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to popliteal artery using vein graft
1525,PeriphVascDiseaseLeg,175623009,Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to popliteal artery using vein graft
1525,PeriphVascDiseaseLeg,175624003,Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to tibial artery using prosthesis
1525,PeriphVascDiseaseLeg,175625002,Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to tibial artery using prosthesis
1525,PeriphVascDiseaseLeg,175626001,Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to tibial artery using vein graft
1525,PeriphVascDiseaseLeg,175627005,Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to tibial artery using vein graft
1525,PeriphVascDiseaseLeg,175628000,Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis
1525,PeriphVascDiseaseLeg,175629008,Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to peroneal artery using prosthesis
1525,PeriphVascDiseaseLeg,175630003,Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to peroneal artery using vein graft
1525,PeriphVascDiseaseLeg,175631004,Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to peroneal artery using vein graft
1525,PeriphVascDiseaseLeg,175685004,Femorofemoral prosthetic crossover graft
1525,PeriphVascDiseaseLeg,175689005,Endarterectomy of femoral artery and patch repair of femoral artery
1525,PeriphVascDiseaseLeg,175690001,Endarterectomy of popliteal artery and patch repair of popliteal artery
1525,PeriphVascDiseaseLeg,175692009,Endarterectomy of popliteal artery NEC
1525,PeriphVascDiseaseLeg,195318006,Embolism and thrombosis of an arm or leg artery
1525,PeriphVascDiseaseLeg,195323006,Embolism and thrombosis of the femoral artery
1525,PeriphVascDiseaseLeg,195324000,Embolism and thrombosis of the popliteal artery
1525,PeriphVascDiseaseLeg,195325004,Embolism and thrombosis of the anterior tibial artery
1525,PeriphVascDiseaseLeg,195326003,Embolism and thrombosis of the dorsalis pedis artery
1525,PeriphVascDiseaseLeg,195327007,Embolism and thrombosis of the posterior tibial artery
1525,PeriphVascDiseaseLeg,195329005,Embolism and thrombosis of a leg artery NOS
1525,PeriphVascDiseaseLeg,195332008,Peripheral arterial embolism and thrombosis NOS
1525,PeriphVascDiseaseLeg,201252003,Mixed diabetic ulcer - foot
1525,PeriphVascDiseaseLeg,201254002,Mixed arteriovenous leg ulcer
1525,PeriphVascDiseaseLeg,225560002,Pressure ulcer of malleolus
1525,PeriphVascDiseaseLeg,233307006,Endarterectomy of common femoral artery
1525,PeriphVascDiseaseLeg,233308001,Endarterectomy of superficial femoral artery
1525,PeriphVascDiseaseLeg,233309009,Endarterectomy of profunda femoris
1525,PeriphVascDiseaseLeg,233310004,Endarterectomy of popliteal artery
1525,PeriphVascDiseaseLeg,233379008,Axillobifemoral bypass graft
1525,PeriphVascDiseaseLeg,233380006,Femorofemoral crossover bypass graft
1525,PeriphVascDiseaseLeg,233381005,Iliofemoral crossover graft
1525,PeriphVascDiseaseLeg,233383008,Femorodistal bypass
1525,PeriphVascDiseaseLeg,233384002,Popliteal-distal bypass
1525,PeriphVascDiseaseLeg,233961000,Lower limb ischaemia
1525,PeriphVascDiseaseLeg,233962007,Critical lower limb ischaemia
1525,PeriphVascDiseaseLeg,238792006,Mixed arteriovenous leg ulcer
1525,PeriphVascDiseaseLeg,238794007,Ischaemic foot ulcer
1525,PeriphVascDiseaseLeg,238795008,Hypertensive leg ulcer
1525,PeriphVascDiseaseLeg,238796009,Neuroischaemic foot ulcer
1525,PeriphVascDiseaseLeg,240925007,Endarterectomy of crural artery
1525,PeriphVascDiseaseLeg,275040003,Emergency femorofemoral prosthetic crossover graft
1525,PeriphVascDiseaseLeg,276933006,Percutaneous endarterectomy of common femoral artery
1525,PeriphVascDiseaseLeg,276937007,Percutaneous endarterectomy of superficial femoral artery
1525,PeriphVascDiseaseLeg,276939005,Percutaneous endarterectomy of profunda femoris
1525,PeriphVascDiseaseLeg,276942004,Percutaneous endarterectomy of popliteal artery
1525,PeriphVascDiseaseLeg,276946001,Percutaneous endarterectomy of crural artery
1525,PeriphVascDiseaseLeg,297149007,Common femoral artery thrombosis
1525,PeriphVascDiseaseLeg,297153009,Profunda femoris artery thrombosis
1525,PeriphVascDiseaseLeg,297155002,Superficial femoral artery thrombosis
1525,PeriphVascDiseaseLeg,297162006,Crural artery thrombosis
1525,PeriphVascDiseaseLeg,300917007,Ischaemia of feet
1525,PeriphVascDiseaseLeg,301016007,Decubitus ulcer of ankle
1525,PeriphVascDiseaseLeg,301025001,Ulcer of malleolus
1525,PeriphVascDiseaseLeg,301755001,Ischaemic foot
1525,PeriphVascDiseaseLeg,302300004,Femoral popliteal occlusion
1525,PeriphVascDiseaseLeg,304389001,Axillo-unifemoral bypass graft
1525,PeriphVascDiseaseLeg,306848006,Occlusion of femoropopliteal bypass graft
1525,PeriphVascDiseaseLeg,306849003,Occlusion of femorofemoral crossover bypass graft
1525,PeriphVascDiseaseLeg,307406004,Trash foot
1525,PeriphVascDiseaseLeg,307408003,Ischaemic toe
1525,PeriphVascDiseaseLeg,308901000,Ulcer of lateral malleolus
1525,PeriphVascDiseaseLeg,308902007,Ulcer of medial malleolus
1525,PeriphVascDiseaseLeg,312687001,Femoro-anterior tibial bypass graft
1525,PeriphVascDiseaseLeg,312688006,Femoropopliteal prosthetic bypass graft
1525,PeriphVascDiseaseLeg,312734005,Femoroposterior tibial reversed vein bypass graft
1525,PeriphVascDiseaseLeg,312735006,Femoroperoneal reversed vein bypass graft
1525,PeriphVascDiseaseLeg,312736007,Ilioanterior tibial bypass graft
1525,PeriphVascDiseaseLeg,312822006,Critical ischaemia of foot
1525,PeriphVascDiseaseLeg,312827000,Superficial femoral artery occlusion
1525,PeriphVascDiseaseLeg,312828005,Common femoral artery occlusion
1525,PeriphVascDiseaseLeg,314188009,Femoral artery occlusion
1525,PeriphVascDiseaseLeg,314189001,Popliteal artery occlusion
1525,PeriphVascDiseaseLeg,388997005,Axillary-femoral arterial bypass
1525,PeriphVascDiseaseLeg,389007008,Superficial axillofemoral vascular bypass
1525,PeriphVascDiseaseLeg,404214001,Iliac-femoral arterial bypass
1525,PeriphVascDiseaseLeg,404215000,Femoral-distal bypass with posterior tibial artery
1525,PeriphVascDiseaseLeg,405299001,Femoro-posterior tibial graft for repair of aneurysm using vein
1525,PeriphVascDiseaseLeg,405300009,Femoro-posterior tibial graft for repair of aneurysm using in-situ vein
1525,PeriphVascDiseaseLeg,405309005,Axillobifemoral bypass graft with prosthesis
1525,PeriphVascDiseaseLeg,405311001,Axillobiprofunda bypass graft
1525,PeriphVascDiseaseLeg,405312008,Axillobiprofunda bypass using prosthesis
1525,PeriphVascDiseaseLeg,405316006,Axilloprofunda bypass using prosthesis
1525,PeriphVascDiseaseLeg,405333004,Femorofemoral crossover arterial bypass with vein
1525,PeriphVascDiseaseLeg,405335006,Endarterectomy and angioplasty of tibio-peroneal artery with vein
1525,PeriphVascDiseaseLeg,405336007,Endarterectomy and angioplasty of tibio-peroneal artery with prosthesis
1525,PeriphVascDiseaseLeg,405337003,Endarterectomy and angioplasty of tibio-peroneal artery
1525,PeriphVascDiseaseLeg,405338008,Endarterectomy and angioplasty of popliteal artery
1525,PeriphVascDiseaseLeg,405339000,Endarterectomy and angioplasty of superficial femoral artery with vein
1525,PeriphVascDiseaseLeg,405340003,Endarterectomy and angioplasty of popliteal artery with prosthesis
1525,PeriphVascDiseaseLeg,405341004,Endarterectomy and angioplasty of superficial femoral artery with prosthesis
1525,PeriphVascDiseaseLeg,405342006,Endarterectomy and angioplasty of popliteal artery with vein
1525,PeriphVascDiseaseLeg,405343001,Endarterectomy and angioplasty of superficial femoral artery
1525,PeriphVascDiseaseLeg,405387005,Endarterectomy and angioplasty of profunda femoris artery with vein
1525,PeriphVascDiseaseLeg,405388000,Endarterectomy and angioplasty of profunda femoris artery with prosthesis
1525,PeriphVascDiseaseLeg,405389008,Endarterectomy and angioplasty of profunda femoris artery
1525,PeriphVascDiseaseLeg,405392007,Endarterectomy and angioplasty of common femoral artery
1525,PeriphVascDiseaseLeg,405393002,Endarterectomy and angioplasty of common femoral artery with vein
1525,PeriphVascDiseaseLeg,405394008,Endarterectomy and angioplasty of common femoral artery with prosthesis
1525,PeriphVascDiseaseLeg,405423008,Endarterectomy of femoral artery
1525,PeriphVascDiseaseLeg,405424002,Endarterectomy of femoral artery with prosthesis
1525,PeriphVascDiseaseLeg,405456009,Endarterectomy and angioplasty of lower limb artery
1525,PeriphVascDiseaseLeg,405457000,Femoro-posterior tibial artery bypass
1525,PeriphVascDiseaseLeg,405458005,Femoro-anterior tibial artery bypass
1525,PeriphVascDiseaseLeg,405459002,Femoro-tibio-peroneal artery bypass
1525,PeriphVascDiseaseLeg,405460007,Femoro-tibio-peroneal artery bypass with vein
1525,PeriphVascDiseaseLeg,405461006,Femoro-tibio-peroneal artery bypass with prosthesis
1525,PeriphVascDiseaseLeg,405462004,Femoro-distal popliteal artery bypass
1525,PeriphVascDiseaseLeg,405463009,Femoral artery bypass
1525,PeriphVascDiseaseLeg,405464003,Femoro-distal popliteal artery bypass with vein
1525,PeriphVascDiseaseLeg,405465002,Femoro-distal popliteal artery bypass with prosthesis
1525,PeriphVascDiseaseLeg,405466001,Femoro-proximal popliteal artery bypass
1525,PeriphVascDiseaseLeg,405467005,Femoro-proximal popliteal artery bypass with vein
1525,PeriphVascDiseaseLeg,405468000,Femoro-proximal popliteal artery bypass with prosthesis
1525,PeriphVascDiseaseLeg,405469008,Arterial bypass of lower limb artery
1525,PeriphVascDiseaseLeg,405470009,Femoro-tibio-peroneal graft for repair of aneurysm using in-situ vein
1525,PeriphVascDiseaseLeg,405471008,Femoro-tibio-peroneal graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405472001,Femoro-tibio-peroneal graft for repair of aneurysm with prosthesis
1525,PeriphVascDiseaseLeg,405473006,Ilio-profunda artery bypass
1525,PeriphVascDiseaseLeg,405474000,Ilio-profunda artery bypass with prosthesis
1525,PeriphVascDiseaseLeg,405475004,Ilio-femoral artery bypass with prosthesis
1525,PeriphVascDiseaseLeg,405476003,Ilio-profunda artery bypass with vein
1525,PeriphVascDiseaseLeg,405478002,Ilio-popliteal artery bypass
1525,PeriphVascDiseaseLeg,405479005,Ilio-popliteal artery bypass with prosthesis
1525,PeriphVascDiseaseLeg,405480008,Ilio-popliteal artery bypass with vein
1525,PeriphVascDiseaseLeg,405481007,Aorto-profunda arterial bypass
1525,PeriphVascDiseaseLeg,405482000,Aorto-femoral arterial bypass
1525,PeriphVascDiseaseLeg,405483005,Aorto-femoral arterial bypass with prosthesis
1525,PeriphVascDiseaseLeg,405484004,Aorto-profunda arterial bypass with prosthesis
1525,PeriphVascDiseaseLeg,405485003,Bypass of bifurcation of aorta by anastomosis of aorta to profunda femoris artery
1525,PeriphVascDiseaseLeg,405486002,Aorto-profunda bifurcation bypass with prosthesis
1525,PeriphVascDiseaseLeg,405504004,Femoro-tibio-peroneal artery bypass for repair of aneurysm using vein
1525,PeriphVascDiseaseLeg,405505003,Femoro-distal popliteal graft for repair of aneurysm using vein
1525,PeriphVascDiseaseLeg,405506002,Femoro-distal popliteal graft for repair of aneurysm using prosthesis
1525,PeriphVascDiseaseLeg,405507006,Femoro-distal popliteal graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405508001,Femoro-proximal popliteal artery bypass for repair of aneurysm with vein
1525,PeriphVascDiseaseLeg,405509009,Ilio-distal popliteal graft for repair of aneurysm using vein
1525,PeriphVascDiseaseLeg,405510004,Ilio-distal popliteal graft for repair of aneurysm with prosthesis
1525,PeriphVascDiseaseLeg,405511000,Ilio-distal popliteal graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405512007,Ilio-profunda artery bypass for repair of aneurysm with vein
1525,PeriphVascDiseaseLeg,405513002,Ilio-profunda artery bypass for repair of aneurysm with prosthesis
1525,PeriphVascDiseaseLeg,405514008,Femoro-distal popliteal graft for repair of aneurysm with in-situ vein
1525,PeriphVascDiseaseLeg,405515009,Femoro-proximal popliteal artery bypass for repair of aneurysm with in-situ vein
1525,PeriphVascDiseaseLeg,405517001,Ilio-proximal popliteal graft for repair of aneurysm using vein
1525,PeriphVascDiseaseLeg,405518006,Ilio-proximal popliteal graft for repair of aneurysm with prosthesis
1525,PeriphVascDiseaseLeg,405519003,Ilio-proximal popliteal graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405520009,Aorto-profunda graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405522001,Aorto-femoral bifurcation graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405523006,Ilio-profunda graft for repair of aneurysm
1525,PeriphVascDiseaseLeg,405526003,Femoro-peroneal artery bypass
1525,PeriphVascDiseaseLeg,405527007,Femoro-peroneal artery bypass with in-situ vein
